booking_id,customer_id,hotel_id,room_id,booking_date,check_in_date,check_out_date,lead_time,adults,children,meal_plan,market_segment,booking_status,adr,total_nights,special_requests,booking_channel,discount_percentage,booking_revenue,total_guests
3327,1588,48,783,2025-02-19,2025-05-16,2025-05-30,86,3,0,Breakfast,Travel Agent,Checked Out,4546,14,4,Travel Agent,0,63644,3
3328,4270,91,613,2026-02-13,2026-04-18,2026-05-01,64,1,1,Breakfast,Online,Canceled,19204,13,5,Walk-in,15,249652,2
3329,102,65,1380,2025-10-28,2025-11-20,2025-12-05,23,3,4,Breakfast,Corporate,Checked Out,14865,15,1,Travel Agent,28,222975,7
3330,3403,50,1149,2025-12-30,2026-01-18,2026-01-25,19,2,2,Full Board,Corporate,Canceled,22211,7,2,Travel Agent,39,155477,4
3331,3586,54,1161,2025-11-27,2025-12-21,2025-12-27,24,2,2,Half Board,Corporate,Checked Out,23193,6,2,Website,13,139158,4
3332,1150,10,1840,2026-01-25,2026-03-09,2026-03-12,43,2,0,Half Board,Online,Canceled,16397,3,4,Walk-in,17,49191,2
3333,386,4,1731,2026-03-08,2026-04-08,2026-04-16,31,2,0,Half Board,Offline,Checked Out,6663,8,0,App,3,53304,2
3334,356,52,410,2024-10-27,2024-11-30,2024-12-01,34,4,3,Breakfast,Online,Canceled,20960,1,4,Travel Agent,38,20960,7
3335,673,31,329,2025-07-28,2025-07-31,2025-08-05,3,5,1,Breakfast,Online,Confirmed,14869,5,3,Website,35,74345,6
3336,4521,85,485,2025-03-17,2025-06-13,2025-06-17,88,1,4,Half Board,Offline,Canceled,12337,4,0,Website,9,49348,5
3337,3988,3,903,2026-05-01,2026-06-26,2026-07-04,56,5,2,Breakfast,Corporate,Confirmed,23511,8,4,App,16,188088,7
3338,717,40,562,2025-04-24,2025-07-02,2025-07-11,69,4,4,Breakfast,Online,Canceled,10906,9,0,Website,34,98154,8
3339,2294,77,1044,2026-04-05,2026-04-07,2026-04-18,2,1,0,Full Board,Travel Agent,Canceled,19099,11,4,Walk-in,14,210089,1
3340,4662,45,1416,2026-02-01,2026-03-06,2026-03-19,33,4,3,Half Board,Online,Confirmed,18368,13,4,Travel Agent,3,238784,7
3341,1847,17,185,2025-06-26,2025-07-09,2025-07-13,13,1,3,Full Board,Online,Checked Out,6089,4,1,App,18,24356,4
3342,953,19,1310,2024-09-22,2024-11-20,2024-11-23,59,2,2,Half Board,Offline,Checked Out,17897,3,2,Walk-in,5,53691,4
3343,4130,56,1908,2026-04-04,2026-06-15,2026-06-20,72,5,1,Half Board,Online,Confirmed,21526,5,4,Walk-in,0,107630,6
3344,4303,79,935,2025-11-18,2025-12-02,2025-12-07,14,4,1,Half Board,Offline,Checked Out,17280,5,3,Travel Agent,24,86400,5
3345,3403,9,909,2024-12-25,2025-02-19,2025-03-04,56,1,1,Half Board,Travel Agent,Canceled,22699,13,5,Website,5,295087,2
3346,2103,68,439,2026-04-20,2026-04-23,2026-05-01,3,3,0,Full Board,Travel Agent,Canceled,8458,8,0,Website,1,67664,3
3347,3839,43,1900,2025-04-13,2025-05-14,2025-05-25,31,4,2,Full Board,Travel Agent,Checked Out,19169,11,4,Walk-in,37,210859,6
3348,1714,72,1696,2025-02-21,2025-03-29,2025-04-05,36,3,1,Full Board,Offline,Confirmed,18717,7,4,Travel Agent,27,131019,4
3349,2951,72,1746,2024-09-12,2024-11-03,2024-11-16,52,1,3,Breakfast,Online,Canceled,12022,13,2,Walk-in,29,156286,4
3350,2278,51,314,2024-09-07,2024-09-14,2024-09-15,7,5,2,Full Board,Travel Agent,Canceled,8089,1,4,Website,23,8089,7
3351,4742,39,934,2025-08-31,2025-09-10,2025-09-12,10,2,2,Full Board,Corporate,Checked Out,23644,2,3,Travel Agent,24,47288,4
3352,3551,86,1915,2025-09-11,2025-09-27,2025-10-12,16,5,2,Breakfast,Online,Canceled,8473,15,5,Website,0,127095,7
3353,3867,55,977,2025-03-24,2025-03-29,2025-04-01,5,2,3,Breakfast,Corporate,Confirmed,10619,3,3,Website,14,31857,5
3354,2763,78,1893,2026-02-27,2026-04-18,2026-04-23,50,2,1,Half Board,Corporate,Checked Out,12067,5,4,Travel Agent,37,60335,3
3355,1028,39,825,2024-07-12,2024-09-20,2024-09-26,70,1,1,Full Board,Corporate,Canceled,5649,6,4,Walk-in,26,33894,2
3356,553,67,1644,2024-07-17,2024-10-02,2024-10-05,77,2,0,Full Board,Corporate,Confirmed,11073,3,2,Travel Agent,2,33219,2
3357,4604,28,967,2025-10-07,2025-11-01,2025-11-07,25,2,1,Full Board,Online,Checked Out,6182,6,2,Travel Agent,1,37092,3
3358,143,36,1073,2025-08-01,2025-09-26,2025-09-28,56,3,2,Full Board,Travel Agent,Canceled,13760,2,1,Website,1,27520,5
3359,4140,89,1239,2024-05-10,2024-05-31,2024-06-12,21,1,2,Breakfast,Travel Agent,Canceled,4932,12,3,Travel Agent,17,59184,3
3360,2321,10,1112,2024-06-03,2024-06-27,2024-07-02,24,2,3,Half Board,Corporate,Checked Out,21442,5,1,Website,29,107210,5
3361,676,58,625,2025-09-21,2025-10-06,2025-10-11,15,4,0,Half Board,Travel Agent,Canceled,23638,5,4,Travel Agent,16,118190,4
3362,3557,51,170,2025-05-22,2025-07-20,2025-07-23,59,1,3,Half Board,Online,Canceled,10120,3,3,Website,10,30360,4
3363,510,33,1206,2024-10-05,2024-12-02,2024-12-12,58,5,3,Breakfast,Online,Confirmed,11508,10,3,App,17,115080,8
3364,993,33,1362,2025-09-26,2025-11-23,2025-12-04,58,4,2,Breakfast,Corporate,Canceled,21063,11,0,App,16,231693,6
3365,1145,7,317,2024-10-07,2024-10-12,2024-10-13,5,5,4,Full Board,Corporate,Canceled,5993,1,5,Walk-in,33,5993,9
3366,1439,52,977,2026-01-04,2026-01-20,2026-02-02,16,2,0,Full Board,Offline,Checked Out,18084,13,1,Walk-in,2,235092,2
3367,764,10,961,2026-04-07,2026-05-10,2026-05-18,33,3,2,Full Board,Travel Agent,Confirmed,8407,8,1,Travel Agent,30,67256,5
3368,3286,20,51,2025-08-07,2025-08-16,2025-08-21,9,5,3,Full Board,Offline,Confirmed,4148,5,3,Travel Agent,16,20740,8
3369,792,33,512,2025-07-28,2025-10-07,2025-10-17,71,5,3,Half Board,Online,Checked Out,17754,10,0,Travel Agent,28,177540,8
3370,241,9,1604,2025-02-19,2025-04-29,2025-04-30,69,2,1,Breakfast,Offline,Canceled,3650,1,4,Website,11,3650,3
3371,718,8,1457,2025-03-12,2025-04-27,2025-05-05,46,5,0,Full Board,Offline,Checked Out,14017,8,0,Website,22,112136,5
3372,2597,51,348,2026-03-20,2026-04-29,2026-05-12,40,4,4,Full Board,Corporate,Checked Out,3757,13,2,Website,36,48841,8
3373,4941,70,1958,2025-04-15,2025-06-17,2025-06-23,63,5,2,Half Board,Travel Agent,Canceled,9723,6,4,Website,36,58338,7
3374,4254,50,458,2024-08-24,2024-09-28,2024-09-30,35,1,4,Half Board,Online,Confirmed,14043,2,2,Travel Agent,37,28086,5
3375,1295,35,1121,2026-04-30,2026-05-08,2026-05-15,8,1,1,Full Board,Offline,Checked Out,8915,7,5,Walk-in,11,62405,2
3376,4027,54,659,2025-12-29,2026-03-06,2026-03-14,67,1,0,Full Board,Corporate,Confirmed,7182,8,1,Website,1,57456,1
3377,962,81,49,2026-02-05,2026-04-10,2026-04-21,64,4,2,Breakfast,Travel Agent,Canceled,9165,11,3,Travel Agent,29,100815,6
3378,947,60,1570,2024-06-01,2024-07-26,2024-07-30,55,1,0,Half Board,Offline,Canceled,21818,4,5,Website,2,87272,1
3379,3266,90,515,2024-12-28,2025-02-17,2025-02-20,51,4,4,Breakfast,Offline,Confirmed,19549,3,3,Travel Agent,5,58647,8
3380,3609,94,1724,2024-07-12,2024-10-07,2024-10-09,87,5,4,Breakfast,Corporate,Canceled,11681,2,4,Website,20,23362,9
3381,3268,38,1727,2025-09-07,2025-11-02,2025-11-07,56,2,4,Full Board,Travel Agent,Checked Out,7334,5,2,Walk-in,38,36670,6
3382,604,49,177,2025-08-04,2025-08-18,2025-08-24,14,2,0,Half Board,Travel Agent,Checked Out,6717,6,0,Walk-in,21,40302,2
3383,1474,32,1909,2025-05-30,2025-06-14,2025-06-19,15,1,0,Full Board,Offline,Canceled,15499,5,0,App,9,77495,1
3384,3029,18,1473,2024-08-18,2024-10-17,2024-10-24,60,4,4,Half Board,Offline,Confirmed,16939,7,3,Walk-in,19,118573,8
3385,1558,52,867,2025-11-01,2025-11-07,2025-11-09,6,3,2,Full Board,Travel Agent,Checked Out,11965,2,0,App,17,23930,5
3386,3435,97,1506,2025-08-15,2025-11-04,2025-11-11,81,3,2,Breakfast,Offline,Checked Out,16114,7,4,Travel Agent,4,112798,5
3387,2046,16,1232,2026-02-08,2026-04-14,2026-04-24,65,3,3,Full Board,Offline,Confirmed,10443,10,2,App,16,104430,6
3388,3915,83,196,2024-06-30,2024-09-06,2024-09-15,68,5,3,Breakfast,Online,Canceled,4526,9,1,Website,33,40734,8
3389,4194,50,318,2024-09-17,2024-10-30,2024-11-01,43,1,1,Half Board,Offline,Checked Out,15763,2,0,Website,22,31526,2
3390,1537,20,550,2025-08-25,2025-11-11,2025-11-22,78,5,1,Full Board,Online,Checked Out,18321,11,0,Walk-in,37,201531,6
3391,4691,51,1119,2024-12-04,2025-01-07,2025-01-22,34,5,2,Half Board,Travel Agent,Confirmed,9098,15,4,Travel Agent,10,136470,7
3392,887,67,1009,2024-10-07,2024-11-28,2024-11-29,52,1,4,Half Board,Corporate,Confirmed,19018,1,4,Walk-in,4,19018,5
3393,1056,79,36,2026-03-25,2026-06-22,2026-07-05,89,5,3,Breakfast,Offline,Canceled,9444,13,5,App,35,122772,8
3394,2609,67,390,2024-08-12,2024-10-21,2024-10-26,70,3,1,Half Board,Corporate,Checked Out,22791,5,3,App,30,113955,4
3395,1738,40,730,2026-02-11,2026-04-12,2026-04-22,60,1,4,Half Board,Offline,Confirmed,5992,10,3,Website,25,59920,5
3396,2755,53,1096,2025-10-18,2025-12-19,2025-12-26,62,4,4,Half Board,Travel Agent,Checked Out,11684,7,2,Travel Agent,24,81788,8
3397,3240,96,1485,2024-07-12,2024-09-10,2024-09-24,60,2,2,Breakfast,Corporate,Checked Out,19732,14,1,Website,39,276248,4
3398,401,95,1739,2026-02-21,2026-05-16,2026-05-29,84,3,3,Full Board,Offline,Confirmed,18339,13,1,Travel Agent,13,238407,6
3399,4778,97,584,2025-11-19,2026-02-15,2026-02-28,88,4,0,Half Board,Corporate,Checked Out,14787,13,2,App,40,192231,4
3400,899,7,1178,2026-01-05,2026-02-14,2026-02-25,40,5,4,Full Board,Travel Agent,Checked Out,4032,11,3,Walk-in,28,44352,9
3401,103,59,1457,2025-01-05,2025-03-20,2025-03-30,74,2,3,Breakfast,Travel Agent,Checked Out,24981,10,5,Walk-in,12,249810,5
3402,2838,88,1849,2024-09-26,2024-10-31,2024-11-09,35,1,0,Full Board,Offline,Checked Out,17513,9,4,Website,38,157617,1
3403,4657,5,587,2025-06-09,2025-08-01,2025-08-07,53,2,0,Full Board,Travel Agent,Checked Out,14086,6,2,Website,27,84516,2
3404,4072,20,14,2025-09-21,2025-10-17,2025-10-23,26,5,4,Half Board,Online,Checked Out,19119,6,4,App,26,114714,9
3405,3070,86,804,2025-07-17,2025-07-28,2025-08-04,11,5,1,Full Board,Offline,Confirmed,12931,7,3,Website,7,90517,6
3406,4257,92,1060,2025-06-28,2025-09-13,2025-09-23,77,2,2,Breakfast,Travel Agent,Checked Out,14123,10,4,Website,2,141230,4
3407,452,97,62,2026-04-07,2026-06-15,2026-06-19,69,4,2,Breakfast,Travel Agent,Confirmed,4807,4,2,App,10,19228,6
3408,377,94,497,2025-04-06,2025-06-06,2025-06-13,61,4,1,Half Board,Corporate,Canceled,22477,7,1,App,8,157339,5
3409,2815,46,992,2024-10-04,2024-12-02,2024-12-11,59,3,4,Breakfast,Travel Agent,Confirmed,20101,9,3,Travel Agent,28,180909,7
3410,1653,55,93,2026-02-15,2026-03-14,2026-03-15,27,2,0,Half Board,Corporate,Confirmed,7393,1,4,Travel Agent,23,7393,2
3411,1800,74,1239,2024-06-13,2024-07-28,2024-07-30,45,2,0,Half Board,Online,Checked Out,19286,2,3,Travel Agent,5,38572,2
3412,3741,33,1218,2025-02-01,2025-04-08,2025-04-17,66,3,2,Full Board,Offline,Confirmed,21035,9,0,Website,4,189315,5
3413,3968,32,199,2025-02-26,2025-04-03,2025-04-04,36,5,0,Full Board,Travel Agent,Canceled,24352,1,3,App,11,24352,5
3414,134,35,1974,2025-05-11,2025-07-02,2025-07-16,52,3,3,Full Board,Travel Agent,Canceled,18740,14,1,Walk-in,33,262360,6
3415,3792,92,1752,2025-11-12,2026-01-02,2026-01-08,51,2,1,Breakfast,Online,Confirmed,11226,6,0,Walk-in,39,67356,3
3416,4082,5,736,2024-06-16,2024-07-15,2024-07-24,29,4,3,Half Board,Online,Confirmed,21152,9,0,App,16,190368,7
3417,1995,32,182,2024-05-09,2024-07-05,2024-07-20,57,2,1,Half Board,Online,Checked Out,8731,15,0,Website,35,130965,3
3418,503,26,630,2025-02-15,2025-04-28,2025-05-07,72,3,2,Full Board,Online,Checked Out,18107,9,3,Travel Agent,12,162963,5
3419,2377,45,387,2026-01-03,2026-03-09,2026-03-21,65,4,2,Breakfast,Corporate,Checked Out,10413,12,3,Walk-in,25,124956,6
3420,4451,74,30,2024-07-16,2024-10-10,2024-10-19,86,3,0,Half Board,Offline,Canceled,9319,9,4,Travel Agent,26,83871,3
3421,3359,35,49,2025-10-16,2025-12-18,2025-12-25,63,4,0,Breakfast,Offline,Confirmed,15042,7,1,Travel Agent,19,105294,4
3422,3556,83,1981,2024-07-27,2024-08-02,2024-08-14,6,2,4,Breakfast,Corporate,Checked Out,3966,12,2,Walk-in,3,47592,6
3423,2018,67,387,2025-12-03,2026-01-02,2026-01-04,30,4,3,Half Board,Offline,Checked Out,10517,2,2,App,33,21034,7
3424,4053,47,878,2024-12-01,2025-01-12,2025-01-14,42,3,3,Half Board,Corporate,Canceled,17384,2,4,Website,34,34768,6
3425,2129,56,482,2024-10-03,2024-10-14,2024-10-21,11,4,4,Full Board,Online,Canceled,13787,7,1,Walk-in,20,96509,8
3426,2775,12,899,2026-04-06,2026-06-03,2026-06-16,58,1,3,Full Board,Corporate,Checked Out,22941,13,2,App,31,298233,4
3427,2865,45,504,2025-10-05,2025-11-23,2025-11-25,49,2,1,Full Board,Travel Agent,Canceled,15619,2,2,App,27,31238,3
3428,578,75,1394,2024-10-02,2024-12-30,2025-01-12,89,4,3,Breakfast,Online,Checked Out,13858,13,5,App,25,180154,7
3429,2570,1,655,2025-08-12,2025-10-05,2025-10-20,54,4,0,Half Board,Online,Checked Out,10841,15,5,Travel Agent,32,162615,4
3430,3338,81,437,2025-01-01,2025-03-24,2025-04-01,82,3,1,Full Board,Offline,Confirmed,16388,8,1,App,32,131104,4
3431,1327,63,1516,2025-12-21,2026-01-21,2026-01-27,31,2,3,Breakfast,Online,Checked Out,17311,6,0,App,0,103866,5
3432,2893,39,1670,2025-04-07,2025-05-29,2025-05-30,52,1,4,Half Board,Offline,Confirmed,12723,1,5,Website,4,12723,5
3433,4455,22,864,2025-11-18,2025-11-29,2025-12-03,11,3,2,Breakfast,Offline,Checked Out,12294,4,5,Travel Agent,35,49176,5
3434,4166,96,145,2025-05-03,2025-05-28,2025-06-11,25,5,2,Half Board,Online,Canceled,12095,14,5,Travel Agent,14,169330,7
3435,4983,2,401,2025-03-18,2025-06-04,2025-06-12,78,3,2,Full Board,Offline,Checked Out,3910,8,4,Travel Agent,3,31280,5
3436,238,11,951,2024-05-31,2024-08-16,2024-08-23,77,4,1,Half Board,Offline,Confirmed,13831,7,4,App,10,96817,5
3437,3425,80,1559,2024-12-14,2025-02-27,2025-03-11,75,1,0,Breakfast,Online,Checked Out,18581,12,4,App,14,222972,1
3438,4955,36,1881,2024-06-26,2024-08-14,2024-08-20,49,2,3,Full Board,Offline,Checked Out,21149,6,0,Travel Agent,19,126894,5
3439,3271,56,225,2025-10-09,2025-11-24,2025-11-28,46,3,0,Full Board,Online,Confirmed,18387,4,1,Travel Agent,19,73548,3
3440,4092,11,203,2026-04-02,2026-04-26,2026-05-02,24,4,3,Breakfast,Corporate,Checked Out,20542,6,1,App,28,123252,7
3441,410,75,651,2024-12-29,2025-02-14,2025-02-19,47,5,3,Half Board,Travel Agent,Checked Out,6155,5,2,Walk-in,9,30775,8
3442,3623,14,372,2026-04-02,2026-04-06,2026-04-13,4,3,4,Half Board,Corporate,Confirmed,15321,7,2,Walk-in,16,107247,7
3443,4505,81,1358,2025-05-26,2025-06-14,2025-06-15,19,4,0,Full Board,Travel Agent,Checked Out,21523,1,2,App,33,21523,4
3444,1515,89,623,2024-06-14,2024-08-26,2024-08-30,73,2,4,Breakfast,Online,Confirmed,21824,4,5,App,40,87296,6
3445,1776,70,1680,2024-05-27,2024-07-20,2024-07-23,54,2,4,Full Board,Travel Agent,Canceled,22109,3,3,Travel Agent,12,66327,6
3446,110,30,713,2024-06-01,2024-06-17,2024-06-21,16,4,2,Breakfast,Offline,Checked Out,13330,4,5,Walk-in,1,53320,6
3447,3616,68,1724,2025-10-27,2026-01-19,2026-01-23,84,5,3,Breakfast,Online,Canceled,22200,4,0,Travel Agent,18,88800,8
3448,4102,65,1074,2026-01-10,2026-01-24,2026-02-03,14,4,3,Breakfast,Online,Checked Out,19497,10,4,App,25,194970,7
3449,1652,32,1374,2026-04-05,2026-06-05,2026-06-10,61,1,1,Half Board,Corporate,Canceled,16440,5,3,Website,8,82200,2
3450,4556,2,1310,2024-07-29,2024-10-22,2024-10-30,85,4,3,Breakfast,Corporate,Checked Out,15382,8,0,App,34,123056,7
3451,112,56,1268,2024-10-23,2024-11-19,2024-11-24,27,1,1,Half Board,Corporate,Canceled,9196,5,2,Website,24,45980,2
3452,421,80,17,2024-06-29,2024-08-26,2024-09-10,58,4,4,Breakfast,Offline,Confirmed,9070,15,0,Website,13,136050,8
3453,1783,9,30,2025-12-08,2026-03-03,2026-03-06,85,1,1,Full Board,Online,Checked Out,17296,3,5,Travel Agent,10,51888,2
3454,3352,22,1243,2026-03-28,2026-06-14,2026-06-25,78,2,1,Breakfast,Online,Checked Out,15356,11,1,App,25,168916,3
3455,3063,45,455,2026-04-13,2026-06-06,2026-06-14,54,5,1,Half Board,Offline,Checked Out,14578,8,2,Travel Agent,38,116624,6
3456,1941,39,1798,2024-12-07,2025-02-25,2025-03-06,80,4,4,Full Board,Offline,Checked Out,19171,9,0,Walk-in,8,172539,8
3457,3727,73,1611,2024-12-29,2025-01-13,2025-01-28,15,3,4,Full Board,Offline,Checked Out,11362,15,3,App,35,170430,7
3458,2005,72,756,2026-03-01,2026-03-28,2026-04-11,27,3,3,Full Board,Offline,Checked Out,4172,14,4,Walk-in,39,58408,6
3459,966,16,1653,2024-10-16,2025-01-10,2025-01-15,86,3,2,Full Board,Corporate,Canceled,7530,5,0,Travel Agent,32,37650,5
3460,4578,96,203,2025-09-22,2025-09-26,2025-10-10,4,5,4,Full Board,Online,Confirmed,12625,14,4,Website,6,176750,9
3461,4367,11,1750,2025-08-12,2025-10-19,2025-11-01,68,3,0,Half Board,Offline,Checked Out,5632,13,2,App,4,73216,3
3462,295,63,1376,2025-04-14,2025-06-21,2025-06-23,68,1,2,Full Board,Travel Agent,Confirmed,3138,2,3,Travel Agent,15,6276,3
3463,4116,58,204,2026-03-02,2026-03-28,2026-04-07,26,3,0,Full Board,Travel Agent,Confirmed,24471,10,4,Walk-in,15,244710,3
3464,236,26,329,2024-07-19,2024-10-17,2024-10-20,90,3,2,Half Board,Online,Checked Out,8742,3,0,App,31,26226,5
3465,3868,56,1516,2025-01-04,2025-01-26,2025-02-07,22,2,0,Breakfast,Corporate,Confirmed,18897,12,1,Travel Agent,25,226764,2
3466,186,56,969,2025-06-20,2025-08-06,2025-08-08,47,5,0,Breakfast,Offline,Checked Out,10748,2,2,App,18,21496,5
3467,581,67,1523,2025-02-02,2025-03-25,2025-03-29,51,3,3,Half Board,Online,Confirmed,24684,4,2,Website,24,98736,6
3468,4905,86,417,2025-09-24,2025-12-21,2026-01-05,88,4,4,Full Board,Corporate,Checked Out,7808,15,2,Website,17,117120,8
3469,3943,76,508,2025-01-07,2025-03-11,2025-03-22,63,2,0,Full Board,Offline,Checked Out,19098,11,5,Walk-in,6,210078,2
3470,4684,36,1799,2024-05-14,2024-07-20,2024-07-31,67,4,4,Half Board,Corporate,Canceled,21291,11,0,App,25,234201,8
3471,2109,82,391,2025-05-02,2025-07-25,2025-08-03,84,4,4,Breakfast,Offline,Checked Out,16806,9,0,Website,30,151254,8
3472,22,41,336,2025-10-09,2025-11-06,2025-11-17,28,1,2,Half Board,Offline,Canceled,5493,11,4,App,4,60423,3
3473,1200,79,1399,2025-12-30,2026-01-16,2026-01-20,17,5,1,Half Board,Corporate,Canceled,12032,4,3,Travel Agent,20,48128,6
3474,529,68,691,2026-04-12,2026-04-19,2026-04-23,7,1,3,Full Board,Travel Agent,Confirmed,3412,4,0,Walk-in,21,13648,4
3475,3677,81,235,2024-09-07,2024-12-02,2024-12-12,86,3,1,Full Board,Travel Agent,Checked Out,19138,10,5,Website,28,191380,4
3476,702,17,117,2024-07-07,2024-07-16,2024-07-22,9,3,3,Half Board,Corporate,Canceled,22939,6,3,App,30,137634,6
3477,4968,63,1797,2026-04-29,2026-06-02,2026-06-04,34,3,3,Half Board,Offline,Canceled,9954,2,5,Travel Agent,19,19908,6
3478,3783,41,334,2025-11-15,2026-01-31,2026-02-01,77,1,3,Breakfast,Corporate,Checked Out,14660,1,5,Travel Agent,12,14660,4
3479,1956,35,414,2024-05-23,2024-06-06,2024-06-17,14,2,4,Breakfast,Offline,Confirmed,5225,11,0,Website,27,57475,6
3480,1202,50,696,2025-10-12,2025-10-15,2025-10-23,3,1,3,Half Board,Online,Confirmed,15533,8,3,Walk-in,0,124264,4
3481,3687,21,323,2026-05-08,2026-06-29,2026-07-12,52,3,3,Breakfast,Offline,Checked Out,22327,13,0,App,6,290251,6
3482,3097,99,1653,2024-06-07,2024-06-12,2024-06-20,5,3,1,Half Board,Offline,Canceled,9020,8,0,Travel Agent,2,72160,4
3483,2141,60,1001,2025-05-05,2025-08-01,2025-08-11,88,1,3,Half Board,Offline,Canceled,16781,10,2,App,16,167810,4
3484,2513,92,1071,2025-06-26,2025-08-21,2025-08-31,56,1,2,Half Board,Online,Checked Out,22833,10,0,Travel Agent,33,228330,3
3485,3758,5,1239,2024-06-24,2024-07-05,2024-07-19,11,4,3,Breakfast,Offline,Checked Out,18855,14,5,App,13,263970,7
3486,1683,45,237,2025-10-08,2025-12-04,2025-12-08,57,3,1,Full Board,Offline,Checked Out,7366,4,5,Walk-in,19,29464,4
3487,1504,37,23,2025-08-02,2025-09-09,2025-09-21,38,5,3,Breakfast,Offline,Checked Out,11003,12,1,Website,27,132036,8
3488,3136,71,1087,2025-02-22,2025-05-04,2025-05-17,71,2,3,Breakfast,Travel Agent,Checked Out,8101,13,5,Walk-in,2,105313,5
3489,3457,7,1028,2026-04-04,2026-04-25,2026-04-27,21,1,3,Breakfast,Offline,Checked Out,10185,2,0,Travel Agent,17,20370,4
3490,3971,34,584,2024-12-30,2025-03-22,2025-04-02,82,5,4,Full Board,Online,Canceled,7482,11,5,App,19,82302,9
3491,1384,54,373,2025-08-04,2025-10-08,2025-10-22,65,3,0,Half Board,Online,Confirmed,12597,14,4,Walk-in,23,176358,3
3492,3506,13,1935,2025-07-18,2025-09-08,2025-09-14,52,1,4,Breakfast,Offline,Canceled,18652,6,3,Website,38,111912,5
3493,2827,42,515,2026-03-16,2026-03-17,2026-03-24,1,3,3,Full Board,Offline,Confirmed,22819,7,2,App,20,159733,6
3494,2598,74,1123,2025-07-22,2025-08-15,2025-08-22,24,2,3,Full Board,Online,Checked Out,5468,7,0,Walk-in,27,38276,5
3495,3510,49,1123,2025-07-17,2025-08-04,2025-08-10,18,1,1,Full Board,Travel Agent,Confirmed,4469,6,1,Travel Agent,20,26814,2
3496,1875,41,1320,2024-12-02,2024-12-18,2025-01-02,16,2,3,Breakfast,Offline,Confirmed,15523,15,2,App,38,232845,5
3497,2087,64,860,2025-03-16,2025-03-24,2025-03-25,8,4,4,Full Board,Corporate,Canceled,3082,1,4,App,27,3082,8
3498,3806,30,85,2025-03-31,2025-06-04,2025-06-05,65,5,0,Full Board,Corporate,Confirmed,20805,1,1,App,24,20805,5
3499,2088,43,555,2024-07-13,2024-08-07,2024-08-20,25,4,0,Half Board,Offline,Confirmed,6786,13,5,Walk-in,23,88218,4
3500,3211,64,645,2026-03-14,2026-04-25,2026-04-27,42,4,3,Half Board,Online,Canceled,22058,2,2,Website,17,44116,7
3501,952,100,22,2024-06-19,2024-07-10,2024-07-23,21,1,0,Half Board,Offline,Confirmed,23927,13,5,App,13,311051,1
3502,1672,51,490,2024-12-19,2025-02-05,2025-02-14,48,5,3,Full Board,Offline,Confirmed,16951,9,5,Walk-in,33,152559,8
3503,2288,73,1577,2024-12-01,2025-02-16,2025-02-17,77,3,1,Half Board,Travel Agent,Canceled,12902,1,2,Walk-in,29,12902,4
3504,3349,85,1738,2026-03-12,2026-03-20,2026-03-31,8,5,0,Half Board,Online,Canceled,7962,11,0,Walk-in,16,87582,5
3505,1822,27,588,2026-01-23,2026-02-06,2026-02-09,14,3,0,Full Board,Corporate,Canceled,18882,3,5,App,23,56646,3
3506,4343,38,1733,2024-11-27,2024-12-25,2025-01-09,28,4,3,Breakfast,Offline,Canceled,24197,15,1,App,33,362955,7
3507,3085,84,118,2024-08-06,2024-10-11,2024-10-14,66,4,0,Breakfast,Corporate,Canceled,23243,3,4,Travel Agent,26,69729,4
3508,2432,32,666,2024-07-07,2024-09-22,2024-10-04,77,4,4,Half Board,Online,Confirmed,23039,12,4,Walk-in,29,276468,8
3509,1886,35,1253,2025-09-21,2025-11-02,2025-11-12,42,4,3,Half Board,Travel Agent,Checked Out,13008,10,1,Travel Agent,4,130080,7
3510,4095,26,456,2025-06-04,2025-08-29,2025-09-04,86,1,0,Half Board,Offline,Canceled,9009,6,3,App,40,54054,1
3511,2015,42,1304,2025-12-01,2026-01-29,2026-01-31,59,4,4,Half Board,Travel Agent,Checked Out,5080,2,5,Website,10,10160,8
3512,3452,43,113,2025-10-29,2025-12-24,2026-01-01,56,4,1,Breakfast,Online,Checked Out,10333,8,2,Website,30,82664,5
3513,53,55,1035,2025-02-06,2025-03-11,2025-03-21,33,2,1,Half Board,Offline,Confirmed,3259,10,1,Website,10,32590,3
3514,102,68,874,2025-10-28,2025-11-26,2025-11-27,29,1,1,Breakfast,Corporate,Checked Out,22084,1,1,Website,24,22084,2
3515,1941,30,1425,2025-11-15,2025-12-28,2026-01-04,43,3,1,Half Board,Corporate,Checked Out,24983,7,1,Website,8,174881,4
3516,4414,56,1616,2025-12-01,2026-02-25,2026-03-02,86,3,3,Breakfast,Offline,Canceled,5513,5,2,Website,12,27565,6
3517,4029,42,123,2025-10-01,2025-10-05,2025-10-17,4,5,4,Full Board,Online,Checked Out,15576,12,5,Travel Agent,21,186912,9
3518,2537,89,1368,2025-05-15,2025-06-25,2025-07-01,41,5,0,Half Board,Travel Agent,Canceled,24418,6,5,Travel Agent,14,146508,5
3519,3564,45,287,2024-08-14,2024-10-29,2024-10-30,76,5,2,Breakfast,Travel Agent,Confirmed,14775,1,2,Website,17,14775,7
3520,1086,4,951,2025-01-25,2025-02-20,2025-03-07,26,3,3,Half Board,Travel Agent,Canceled,11973,15,0,App,0,179595,6
