booking_id,customer_id,hotel_id,room_id,booking_date,check_in_date,check_out_date,lead_time,adults,children,meal_plan,market_segment,booking_status,adr,total_nights,special_requests,booking_channel,discount_percentage,booking_revenue
2021,1738,35,241,2025-07-29,2025-08-23,2025-08-29,25,4,3,Breakfast,Travel Agent,Checked Out,15287,6,5,Travel Agent,25,91722
2022,1991,54,1489,2025-06-05,2025-08-05,2025-08-15,61,5,4,Breakfast,Corporate,Confirmed,22958,10,0,Walk-in,24,229580
2023,2331,63,912,2024-10-09,2025-01-07,2025-01-22,90,4,2,Breakfast,Corporate,Canceled,11018,15,3,App,40,165270
2024,1008,79,75,2025-02-10,2025-03-10,2025-03-15,28,1,1,Full Board,Online,Confirmed,12747,5,4,Website,19,63735
2025,2118,19,1572,2025-02-01,2025-02-27,2025-03-13,26,1,3,Half Board,Online,Confirmed,21850,14,2,Walk-in,38,305900
2026,2844,50,644,2025-02-12,2025-04-12,2025-04-15,59,2,1,Half Board,Online,Checked Out,4856,3,1,Travel Agent,40,14568
2027,3048,5,1340,2025-10-18,2025-12-28,2025-12-29,71,1,4,Half Board,Travel Agent,Confirmed,18206,1,4,App,13,18206
2028,76,55,1153,2025-04-14,2025-06-20,2025-06-29,67,4,1,Breakfast,Offline,Checked Out,20279,9,3,Website,28,182511
2029,1491,72,1522,2025-05-24,2025-06-13,2025-06-17,20,5,0,Half Board,Online,Confirmed,14079,4,3,App,32,56316
2030,193,23,431,2025-01-14,2025-03-19,2025-03-21,64,5,3,Half Board,Online,Canceled,3813,2,1,Website,13,7626
2031,518,53,422,2024-12-31,2025-02-07,2025-02-13,38,5,4,Full Board,Offline,Confirmed,15156,6,4,Travel Agent,7,90936
2032,2635,34,1415,2025-09-26,2025-10-02,2025-10-08,6,5,4,Breakfast,Online,Confirmed,18188,6,4,Website,39,109128
2033,3576,88,1793,2025-09-03,2025-11-14,2025-11-16,72,1,4,Full Board,Online,Checked Out,16418,2,0,App,32,32836
2034,808,35,487,2025-04-02,2025-04-17,2025-04-22,15,5,2,Breakfast,Online,Confirmed,18840,5,2,Walk-in,1,94200
2035,1613,44,1255,2024-12-17,2025-03-15,2025-03-30,88,4,4,Breakfast,Online,Canceled,9613,15,0,Walk-in,20,144195
2036,3510,18,1496,2026-04-21,2026-05-18,2026-05-19,27,4,3,Breakfast,Travel Agent,Checked Out,23324,1,4,Travel Agent,34,23324
2037,3642,64,865,2026-03-30,2026-04-25,2026-04-26,26,2,3,Breakfast,Corporate,Checked Out,6644,1,4,App,30,6644
2038,2015,61,1229,2026-01-23,2026-04-20,2026-04-25,87,3,3,Full Board,Travel Agent,Checked Out,15146,5,1,Travel Agent,3,75730
2039,4593,99,39,2024-12-06,2025-01-27,2025-02-06,52,3,0,Half Board,Corporate,Checked Out,7732,10,4,App,2,77320
2040,419,4,1959,2024-07-17,2024-08-17,2024-08-21,31,2,3,Half Board,Travel Agent,Confirmed,14191,4,0,App,33,56764
2041,1709,72,1787,2026-03-05,2026-04-15,2026-04-21,41,3,3,Breakfast,Online,Canceled,4978,6,4,Travel Agent,12,29868
2042,3533,58,1709,2025-07-27,2025-08-06,2025-08-14,10,2,1,Full Board,Online,Confirmed,11113,8,5,Website,1,88904
2043,4730,60,727,2025-10-30,2026-01-18,2026-01-23,80,1,1,Breakfast,Online,Confirmed,14578,5,0,Travel Agent,14,72890
2044,638,49,411,2025-09-02,2025-09-05,2025-09-19,3,3,4,Breakfast,Online,Confirmed,20823,14,2,Website,8,291522
2045,2708,83,898,2024-10-19,2024-12-18,2024-12-31,60,4,1,Half Board,Online,Checked Out,8479,13,2,Walk-in,15,110227
2046,4066,25,1849,2024-06-22,2024-08-11,2024-08-13,50,3,4,Half Board,Offline,Canceled,8317,2,1,Walk-in,33,16634
2047,59,66,680,2024-05-16,2024-06-05,2024-06-08,20,4,3,Breakfast,Offline,Canceled,20195,3,1,App,36,60585
2048,2048,96,695,2026-01-20,2026-01-31,2026-02-07,11,1,1,Half Board,Corporate,Canceled,6455,7,1,Walk-in,25,45185
2049,423,68,1098,2024-06-08,2024-08-13,2024-08-21,66,1,3,Full Board,Offline,Canceled,23560,8,3,App,37,188480
2050,4898,71,302,2026-01-03,2026-03-09,2026-03-23,65,1,2,Half Board,Online,Confirmed,23560,14,3,App,34,329840
2051,1449,57,172,2024-07-15,2024-08-07,2024-08-17,23,4,2,Breakfast,Online,Checked Out,6162,10,3,Walk-in,35,61620
2052,4280,34,153,2024-05-19,2024-05-27,2024-05-28,8,1,3,Breakfast,Offline,Checked Out,16452,1,0,Website,10,16452
2053,1121,46,1105,2025-11-11,2025-11-30,2025-12-14,19,3,3,Breakfast,Offline,Checked Out,6483,14,3,Walk-in,32,90762
2054,1862,98,1325,2025-10-26,2025-12-02,2025-12-11,37,4,4,Full Board,Online,Checked Out,21708,9,1,App,21,195372
2055,1777,48,1354,2025-01-08,2025-01-14,2025-01-24,6,4,4,Breakfast,Offline,Canceled,6451,10,5,Walk-in,11,64510
2056,2595,97,964,2026-01-28,2026-02-11,2026-02-16,14,1,4,Full Board,Corporate,Confirmed,5574,5,0,Website,17,27870
2057,2811,80,1099,2024-08-28,2024-10-19,2024-11-01,52,5,4,Breakfast,Travel Agent,Confirmed,3156,13,0,Website,19,41028
2058,3380,86,1435,2024-06-15,2024-07-23,2024-08-04,38,1,2,Full Board,Corporate,Confirmed,18920,12,2,Website,22,227040
2059,3403,65,207,2024-10-24,2024-11-01,2024-11-03,8,5,2,Full Board,Corporate,Canceled,10568,2,2,Walk-in,23,21136
2060,3033,97,1050,2025-04-22,2025-05-14,2025-05-18,22,5,3,Breakfast,Corporate,Canceled,13352,4,0,Walk-in,23,53408
2061,813,1,1064,2025-07-28,2025-08-16,2025-08-21,19,4,0,Half Board,Corporate,Confirmed,5244,5,4,App,11,26220
2062,2371,53,817,2026-02-20,2026-05-11,2026-05-26,80,2,4,Half Board,Offline,Canceled,9394,15,5,Walk-in,35,140910
2063,3038,92,1239,2025-07-25,2025-08-23,2025-08-29,29,5,2,Half Board,Offline,Canceled,11995,6,1,Walk-in,33,71970
2064,65,7,317,2026-05-01,2026-06-18,2026-07-01,48,2,0,Full Board,Travel Agent,Confirmed,14002,13,4,Travel Agent,29,182026
2065,4439,51,776,2026-03-28,2026-06-05,2026-06-20,69,1,4,Full Board,Offline,Checked Out,8174,15,2,Website,17,122610
2066,436,73,1309,2025-06-18,2025-06-24,2025-07-01,6,3,1,Half Board,Online,Confirmed,7186,7,1,App,1,50302
2067,1606,7,1520,2024-12-19,2025-01-02,2025-01-15,14,1,0,Breakfast,Offline,Canceled,24726,13,1,App,38,321438
2068,4218,39,1213,2026-03-12,2026-05-20,2026-05-29,69,4,3,Half Board,Travel Agent,Canceled,16428,9,1,Walk-in,32,147852
2069,1964,74,1645,2025-09-04,2025-09-20,2025-10-04,16,1,1,Breakfast,Online,Checked Out,14649,14,0,Walk-in,12,205086
2070,3283,5,1866,2025-11-13,2026-02-11,2026-02-26,90,3,3,Full Board,Online,Canceled,24550,15,1,Travel Agent,19,368250
2071,2108,93,1539,2026-03-30,2026-06-28,2026-07-10,90,4,4,Half Board,Corporate,Confirmed,11340,12,5,Website,4,136080
2072,117,79,1251,2025-03-22,2025-03-24,2025-03-31,2,1,2,Breakfast,Online,Confirmed,17516,7,1,Travel Agent,40,122612
2073,770,81,1961,2024-09-11,2024-09-23,2024-10-07,12,5,3,Breakfast,Online,Canceled,14090,14,0,Walk-in,17,197260
2074,1875,69,1182,2026-01-24,2026-03-20,2026-03-25,55,5,4,Breakfast,Offline,Checked Out,16130,5,2,Website,4,80650
2075,3976,74,94,2024-12-02,2025-01-11,2025-01-23,40,3,3,Full Board,Offline,Canceled,11412,12,4,Website,21,136944
2076,1993,14,1048,2025-11-01,2025-12-06,2025-12-08,35,5,1,Half Board,Corporate,Confirmed,17129,2,0,Travel Agent,36,34258
2077,1554,79,1341,2025-07-17,2025-08-07,2025-08-09,21,1,0,Half Board,Online,Checked Out,13972,2,3,Travel Agent,18,27944
2078,1014,100,1940,2025-07-16,2025-09-19,2025-10-04,65,4,4,Full Board,Online,Confirmed,23559,15,5,App,2,353385
2079,1926,62,733,2024-08-25,2024-09-25,2024-10-10,31,5,0,Breakfast,Online,Checked Out,22410,15,0,App,5,336150
2080,4798,91,583,2026-01-15,2026-03-15,2026-03-16,59,3,4,Half Board,Travel Agent,Confirmed,23013,1,4,Website,13,23013
2081,1512,77,56,2025-05-18,2025-06-20,2025-06-22,33,4,0,Half Board,Online,Checked Out,5007,2,4,Walk-in,13,10014
2082,3395,64,58,2025-07-09,2025-09-01,2025-09-03,54,4,3,Full Board,Travel Agent,Canceled,4869,2,0,App,20,9738
2083,1060,61,1651,2025-10-14,2025-12-21,2025-12-31,68,1,3,Half Board,Offline,Confirmed,7026,10,3,Walk-in,31,70260
2084,495,45,1507,2025-04-04,2025-06-12,2025-06-25,69,2,4,Full Board,Corporate,Confirmed,5321,13,3,Travel Agent,14,69173
2085,3044,17,1357,2025-01-27,2025-02-06,2025-02-15,10,3,3,Half Board,Travel Agent,Checked Out,14649,9,3,Travel Agent,39,131841
2086,2464,16,1865,2025-10-04,2025-12-28,2025-12-29,85,1,3,Full Board,Travel Agent,Checked Out,13528,1,0,Website,22,13528
2087,2595,19,1572,2024-11-03,2024-11-30,2024-12-05,27,3,1,Half Board,Travel Agent,Checked Out,3681,5,4,Travel Agent,36,18405
2088,3500,79,1611,2024-06-27,2024-08-24,2024-08-31,58,5,0,Breakfast,Travel Agent,Checked Out,19918,7,1,Website,25,139426
2089,1997,64,1209,2026-03-10,2026-03-12,2026-03-17,2,4,2,Full Board,Online,Canceled,6747,5,4,Travel Agent,2,33735
2090,2499,13,6,2025-04-02,2025-04-29,2025-05-08,27,2,0,Breakfast,Online,Canceled,10698,9,2,Travel Agent,40,96282
2091,4413,29,26,2025-01-09,2025-03-12,2025-03-13,62,4,4,Half Board,Online,Checked Out,5279,1,1,Walk-in,22,5279
2092,2373,30,1886,2024-05-25,2024-07-13,2024-07-14,49,2,0,Breakfast,Offline,Confirmed,23351,1,1,App,12,23351
2093,2046,84,712,2024-07-12,2024-09-23,2024-10-06,73,3,0,Breakfast,Corporate,Canceled,23938,13,0,App,12,311194
2094,3984,21,1283,2024-12-15,2025-02-25,2025-03-02,72,4,4,Breakfast,Offline,Confirmed,11255,5,4,Travel Agent,20,56275
2095,1902,48,1873,2025-06-25,2025-09-15,2025-09-29,82,1,2,Full Board,Corporate,Checked Out,18737,14,3,Website,24,262318
2096,3561,53,546,2024-09-05,2024-10-31,2024-11-01,56,4,0,Breakfast,Corporate,Confirmed,17669,1,2,Travel Agent,35,17669
2097,2679,38,1215,2025-07-03,2025-08-01,2025-08-06,29,4,2,Breakfast,Corporate,Canceled,20265,5,4,Website,1,101325
2098,1901,19,865,2024-11-20,2024-12-31,2025-01-14,41,5,3,Full Board,Offline,Canceled,19693,14,0,Travel Agent,14,275702
2099,4974,67,1294,2025-11-10,2025-11-18,2025-11-20,8,2,0,Full Board,Online,Checked Out,17386,2,2,App,31,34772
2100,1472,69,681,2024-07-12,2024-09-21,2024-09-25,71,5,3,Full Board,Offline,Canceled,10647,4,2,Website,4,42588
2101,456,50,709,2024-08-23,2024-10-17,2024-10-31,55,1,2,Full Board,Online,Confirmed,5529,14,4,App,10,77406
2102,1613,49,1564,2025-09-09,2025-10-01,2025-10-08,22,3,4,Full Board,Offline,Canceled,8034,7,5,Travel Agent,3,56238
2103,2479,70,1116,2025-02-14,2025-03-29,2025-04-01,43,2,2,Breakfast,Travel Agent,Checked Out,4088,3,3,Website,12,12264
2104,747,46,1031,2025-11-06,2026-01-10,2026-01-19,65,4,4,Half Board,Online,Checked Out,15259,9,2,Travel Agent,4,137331
2105,4877,79,166,2024-05-11,2024-07-18,2024-07-27,68,4,4,Breakfast,Travel Agent,Canceled,7509,9,3,Website,23,67581
2106,67,85,1947,2025-01-06,2025-02-08,2025-02-14,33,4,0,Full Board,Travel Agent,Confirmed,20003,6,0,Website,13,120018
2107,1207,24,18,2024-09-10,2024-11-02,2024-11-08,53,1,3,Breakfast,Corporate,Canceled,5243,6,3,Website,15,31458
2108,3652,24,1747,2025-10-26,2025-12-17,2025-12-22,52,3,4,Full Board,Corporate,Canceled,24153,5,4,Walk-in,11,120765
2109,1064,66,1845,2025-06-24,2025-07-07,2025-07-19,13,5,4,Half Board,Offline,Canceled,8627,12,2,Website,16,103524
2110,4719,33,366,2026-04-08,2026-05-10,2026-05-11,32,4,3,Breakfast,Travel Agent,Confirmed,6102,1,1,Walk-in,6,6102
2111,360,91,539,2024-10-14,2024-11-29,2024-12-03,46,2,0,Full Board,Online,Canceled,5986,4,2,App,5,23944
2112,1399,42,1249,2024-08-26,2024-08-31,2024-09-13,5,1,2,Half Board,Corporate,Canceled,4198,13,5,Travel Agent,27,54574
2113,894,29,707,2025-07-13,2025-09-28,2025-09-30,77,5,2,Breakfast,Corporate,Canceled,18261,2,4,Website,30,36522
2114,3876,11,295,2026-02-14,2026-03-06,2026-03-15,20,4,0,Full Board,Offline,Canceled,12871,9,1,Walk-in,5,115839
2115,3987,69,1727,2025-04-19,2025-07-06,2025-07-20,78,2,1,Breakfast,Offline,Confirmed,20688,14,3,Walk-in,22,289632
2116,3253,9,496,2025-12-09,2026-03-04,2026-03-14,85,3,2,Breakfast,Offline,Confirmed,17759,10,5,App,8,177590
2117,814,85,1004,2025-10-01,2025-11-27,2025-12-07,57,4,0,Breakfast,Online,Confirmed,17228,10,4,Website,35,172280
2118,557,58,373,2025-05-26,2025-07-10,2025-07-23,45,5,2,Full Board,Offline,Confirmed,14216,13,5,Website,5,184808
2119,3545,71,504,2025-08-31,2025-11-12,2025-11-21,73,3,2,Breakfast,Corporate,Confirmed,21742,9,5,Walk-in,25,195678
2120,198,81,700,2025-06-18,2025-07-21,2025-07-22,33,4,2,Breakfast,Offline,Checked Out,15658,1,0,Website,32,15658
2121,84,74,142,2025-03-25,2025-06-04,2025-06-14,71,3,3,Full Board,Offline,Canceled,14037,10,2,Website,27,140370
2122,3384,22,313,2025-04-14,2025-07-13,2025-07-17,90,5,4,Breakfast,Offline,Canceled,24828,4,0,Walk-in,15,99312
2123,1562,12,265,2025-02-06,2025-04-13,2025-04-20,66,2,2,Full Board,Corporate,Checked Out,13479,7,5,Walk-in,9,94353
2124,765,68,559,2025-06-03,2025-06-11,2025-06-21,8,3,2,Half Board,Offline,Confirmed,11678,10,2,App,19,116780
2125,4794,60,383,2024-11-24,2025-01-07,2025-01-19,44,4,1,Breakfast,Offline,Checked Out,19368,12,4,App,5,232416
2126,275,66,1774,2025-03-22,2025-04-05,2025-04-16,14,2,4,Breakfast,Online,Canceled,19701,11,2,App,33,216711
2127,3756,23,1246,2025-01-30,2025-03-15,2025-03-28,44,1,1,Breakfast,Online,Checked Out,24142,13,3,Walk-in,7,313846
2128,3498,82,1744,2025-08-12,2025-09-22,2025-10-07,41,4,1,Full Board,Offline,Canceled,14997,15,3,Website,3,224955
2129,3833,85,1497,2024-07-31,2024-09-28,2024-10-01,59,5,3,Full Board,Travel Agent,Checked Out,17396,3,2,Travel Agent,15,52188
2130,221,48,1359,2025-09-26,2025-10-16,2025-10-21,20,4,0,Half Board,Online,Confirmed,16751,5,5,Website,6,83755
2131,87,93,1595,2024-07-12,2024-09-27,2024-09-30,77,3,4,Full Board,Offline,Canceled,13845,3,5,App,21,41535
2132,1215,36,1882,2025-01-22,2025-01-31,2025-02-08,9,3,2,Full Board,Offline,Canceled,4579,8,3,Walk-in,27,36632
2133,2339,39,389,2024-07-18,2024-09-29,2024-10-10,73,2,1,Breakfast,Offline,Canceled,10741,11,1,Website,12,118151
2134,1721,24,258,2025-03-02,2025-03-04,2025-03-07,2,1,2,Half Board,Corporate,Confirmed,19207,3,5,Website,0,57621
2135,2458,37,562,2024-06-25,2024-07-30,2024-08-05,35,4,1,Breakfast,Travel Agent,Checked Out,10103,6,4,App,32,60618
2136,3966,23,566,2025-06-09,2025-06-19,2025-06-27,10,2,1,Half Board,Travel Agent,Canceled,8030,8,1,Website,16,64240
2137,2350,31,1953,2025-03-30,2025-06-07,2025-06-20,69,4,3,Breakfast,Offline,Canceled,11631,13,5,Walk-in,36,151203
2138,2362,72,334,2026-04-20,2026-07-07,2026-07-12,78,4,2,Full Board,Travel Agent,Canceled,21265,5,2,Travel Agent,27,106325
2139,2051,14,1977,2024-10-14,2025-01-03,2025-01-15,81,2,0,Breakfast,Travel Agent,Confirmed,21938,12,0,Travel Agent,9,263256
2140,898,51,1155,2025-10-22,2025-11-20,2025-11-26,29,2,0,Full Board,Offline,Checked Out,22929,6,2,Walk-in,24,137574
2141,2640,52,1808,2024-11-19,2025-02-14,2025-02-19,87,4,2,Half Board,Travel Agent,Confirmed,22024,5,1,Website,31,110120
2142,2292,94,641,2026-03-03,2026-04-27,2026-05-08,55,1,1,Full Board,Online,Checked Out,7639,11,3,Website,9,84029
2143,2397,91,1069,2025-10-23,2025-12-21,2026-01-02,59,3,3,Full Board,Corporate,Checked Out,10397,12,2,Website,35,124764
2144,1359,56,657,2025-09-09,2025-10-16,2025-10-28,37,3,4,Full Board,Corporate,Confirmed,12773,12,3,Website,23,153276
2145,2227,80,606,2025-09-06,2025-11-06,2025-11-21,61,1,2,Full Board,Travel Agent,Canceled,14515,15,2,Website,21,217725
2146,1153,21,1497,2025-03-12,2025-06-06,2025-06-07,86,5,2,Breakfast,Corporate,Checked Out,8672,1,4,Travel Agent,24,8672
2147,3114,90,647,2024-07-23,2024-09-27,2024-09-29,66,3,0,Full Board,Online,Canceled,5450,2,4,Website,33,10900
2148,4623,16,1661,2025-02-13,2025-04-11,2025-04-18,57,3,3,Half Board,Online,Confirmed,22830,7,2,Travel Agent,36,159810
2149,109,92,318,2025-08-31,2025-09-06,2025-09-15,6,4,3,Full Board,Offline,Confirmed,24752,9,2,Website,38,222768
2150,4095,35,1851,2024-09-19,2024-10-20,2024-10-25,31,5,3,Full Board,Corporate,Canceled,7303,5,2,App,10,36515
2151,3037,44,159,2024-09-24,2024-11-28,2024-12-11,65,3,3,Breakfast,Corporate,Checked Out,5086,13,4,App,31,66118
2152,2586,93,1910,2025-01-03,2025-01-21,2025-01-31,18,2,0,Half Board,Offline,Confirmed,22702,10,0,Travel Agent,3,227020
2153,1888,96,1766,2025-11-08,2025-12-15,2025-12-18,37,4,2,Full Board,Travel Agent,Checked Out,16574,3,5,App,36,49722
2154,4255,47,1042,2025-03-11,2025-05-15,2025-05-20,65,3,3,Half Board,Online,Canceled,15795,5,0,Walk-in,30,78975
2155,3863,47,1457,2025-07-30,2025-09-15,2025-09-25,47,2,4,Breakfast,Online,Checked Out,21859,10,4,Website,39,218590
2156,2298,65,1724,2026-01-14,2026-02-16,2026-02-17,33,3,3,Full Board,Corporate,Confirmed,14271,1,4,Website,34,14271
2157,4280,7,749,2026-03-09,2026-05-23,2026-05-27,75,5,1,Breakfast,Travel Agent,Canceled,14824,4,4,App,0,59296
2158,3265,4,290,2024-12-02,2025-01-12,2025-01-17,41,3,2,Breakfast,Online,Confirmed,7448,5,3,App,32,37240
2159,1262,94,923,2026-04-02,2026-05-09,2026-05-19,37,3,1,Full Board,Travel Agent,Checked Out,15623,10,5,Walk-in,34,156230
2160,182,9,491,2024-06-05,2024-07-22,2024-07-23,47,3,1,Breakfast,Offline,Canceled,17508,1,5,Walk-in,1,17508
2161,3044,64,1478,2026-05-03,2026-06-08,2026-06-13,36,1,0,Full Board,Travel Agent,Confirmed,3830,5,0,Website,9,19150
2162,842,7,526,2024-10-20,2024-10-21,2024-10-23,1,1,1,Half Board,Travel Agent,Checked Out,24291,2,0,Walk-in,38,48582
2163,1118,83,331,2026-02-11,2026-05-06,2026-05-13,84,3,0,Full Board,Offline,Checked Out,3008,7,0,Website,6,21056
2164,2664,44,335,2024-12-12,2025-03-01,2025-03-10,79,4,0,Half Board,Offline,Checked Out,19449,9,5,App,31,175041
2165,978,17,766,2024-12-26,2025-01-01,2025-01-04,6,5,1,Half Board,Travel Agent,Canceled,15345,3,0,Walk-in,2,46035
2166,4366,89,1851,2026-01-04,2026-01-28,2026-02-05,24,2,0,Breakfast,Online,Confirmed,6595,8,4,Walk-in,37,52760
2167,2138,5,1768,2025-06-20,2025-08-04,2025-08-07,45,1,1,Half Board,Online,Checked Out,14212,3,5,App,17,42636
2168,2325,73,613,2025-04-11,2025-05-22,2025-05-30,41,4,4,Full Board,Travel Agent,Checked Out,15593,8,1,Travel Agent,37,124744
2169,3320,84,1592,2025-12-29,2026-03-20,2026-03-22,81,1,3,Full Board,Corporate,Canceled,5729,2,3,Travel Agent,40,11458
2170,3526,29,1366,2025-11-11,2025-12-09,2025-12-12,28,1,4,Full Board,Offline,Checked Out,17269,3,3,Travel Agent,24,51807
2171,2399,48,1065,2024-11-12,2025-01-21,2025-02-02,70,3,4,Half Board,Online,Canceled,7897,12,3,App,27,94764
2172,2652,38,1418,2024-06-27,2024-07-26,2024-08-01,29,5,2,Half Board,Offline,Canceled,17408,6,0,Walk-in,17,104448
2173,1615,99,409,2025-10-07,2025-10-22,2025-10-29,15,1,2,Breakfast,Online,Checked Out,20547,7,5,Walk-in,29,143829
2174,4241,5,1774,2024-10-13,2024-11-05,2024-11-16,23,2,1,Half Board,Online,Canceled,10778,11,2,Walk-in,17,118558
2175,2424,12,1856,2026-03-01,2026-03-03,2026-03-06,2,2,2,Breakfast,Offline,Confirmed,18878,3,5,Walk-in,33,56634
2176,241,93,1530,2025-03-22,2025-06-06,2025-06-17,76,4,4,Breakfast,Corporate,Checked Out,8218,11,1,Travel Agent,27,90398
2177,3108,84,957,2024-07-28,2024-08-10,2024-08-21,13,4,1,Half Board,Corporate,Confirmed,11017,11,4,Walk-in,9,121187
2178,59,27,1427,2025-01-05,2025-03-24,2025-03-30,78,1,1,Breakfast,Online,Confirmed,19827,6,5,App,30,118962
2179,2772,48,1579,2026-02-19,2026-05-08,2026-05-15,78,5,3,Half Board,Offline,Confirmed,19798,7,5,Website,30,138586
2180,139,2,343,2024-05-11,2024-07-13,2024-07-27,63,5,0,Breakfast,Corporate,Checked Out,21061,14,1,Website,15,294854
2181,1007,49,1023,2024-07-29,2024-08-05,2024-08-12,7,1,1,Full Board,Online,Canceled,13217,7,4,App,40,92519
2182,4205,25,565,2024-09-24,2024-12-13,2024-12-14,80,1,0,Breakfast,Travel Agent,Canceled,18314,1,5,App,22,18314
2183,1000,6,1199,2025-08-16,2025-11-11,2025-11-12,87,5,2,Full Board,Offline,Confirmed,7285,1,5,Travel Agent,0,7285
2184,4161,82,303,2025-05-09,2025-07-14,2025-07-19,66,5,0,Breakfast,Corporate,Confirmed,9454,5,4,Walk-in,5,47270
2185,4203,99,991,2024-11-08,2025-02-04,2025-02-15,88,2,3,Half Board,Offline,Checked Out,6853,11,1,App,5,75383
2186,575,25,885,2024-08-21,2024-10-20,2024-10-26,60,2,0,Breakfast,Corporate,Checked Out,17168,6,3,Walk-in,40,103008
2187,4869,88,155,2026-01-23,2026-03-11,2026-03-26,47,4,4,Breakfast,Corporate,Canceled,12961,15,3,Travel Agent,15,194415
2188,1507,48,457,2025-09-15,2025-10-19,2025-10-21,34,1,3,Half Board,Online,Checked Out,17190,2,1,App,28,34380
2189,441,93,548,2026-03-14,2026-04-13,2026-04-23,30,3,3,Half Board,Online,Checked Out,10123,10,1,Travel Agent,1,101230
2190,3889,62,1811,2024-08-16,2024-11-09,2024-11-21,85,5,0,Half Board,Corporate,Confirmed,11159,12,2,App,5,133908
2191,1060,64,949,2025-12-01,2026-01-31,2026-02-11,61,4,1,Breakfast,Travel Agent,Checked Out,3770,11,4,Travel Agent,9,41470
2192,4166,20,1572,2025-01-17,2025-03-28,2025-04-10,70,4,2,Breakfast,Online,Checked Out,17874,13,1,Website,10,232362
2193,4204,96,1959,2025-09-03,2025-09-30,2025-10-06,27,2,3,Half Board,Offline,Canceled,12284,6,1,Travel Agent,31,73704
2194,1205,100,442,2024-08-20,2024-09-04,2024-09-13,15,5,2,Breakfast,Online,Confirmed,9894,9,0,Walk-in,21,89046
2195,1280,28,1850,2024-09-08,2024-11-20,2024-11-26,73,5,1,Breakfast,Corporate,Checked Out,9096,6,5,Website,2,54576
2196,4460,94,687,2024-10-13,2024-11-28,2024-12-10,46,1,3,Full Board,Travel Agent,Confirmed,6057,12,1,Website,3,72684
2197,4572,89,1034,2026-05-01,2026-07-12,2026-07-22,72,4,0,Full Board,Corporate,Confirmed,6658,10,0,Website,14,66580
2198,822,13,1525,2025-10-17,2025-12-24,2026-01-02,68,2,1,Breakfast,Offline,Canceled,23655,9,0,Travel Agent,1,212895
2199,2261,73,1961,2024-12-25,2025-01-19,2025-01-23,25,4,0,Breakfast,Travel Agent,Checked Out,19161,4,0,Travel Agent,8,76644
2200,4945,32,1423,2025-01-09,2025-03-15,2025-03-16,65,3,2,Half Board,Travel Agent,Checked Out,18408,1,0,Website,3,18408
2201,4732,98,494,2024-07-13,2024-08-03,2024-08-07,21,4,4,Full Board,Online,Canceled,5598,4,2,Travel Agent,0,22392
2202,665,78,1868,2025-08-10,2025-08-11,2025-08-19,1,3,4,Breakfast,Offline,Canceled,21845,8,4,App,3,174760
2203,446,40,1748,2025-11-27,2025-12-20,2025-12-28,23,5,4,Half Board,Online,Canceled,9895,8,2,Website,6,79160
2204,1796,1,202,2026-03-23,2026-05-01,2026-05-16,39,1,0,Full Board,Travel Agent,Canceled,12108,15,0,Walk-in,6,181620
2205,469,61,643,2024-12-12,2024-12-30,2025-01-10,18,2,2,Breakfast,Corporate,Checked Out,5407,11,2,App,15,59477
2206,1724,99,981,2024-11-26,2025-01-20,2025-01-26,55,3,2,Full Board,Corporate,Checked Out,24935,6,0,App,40,149610
2207,2541,24,626,2024-06-27,2024-09-06,2024-09-09,71,5,0,Half Board,Corporate,Checked Out,15579,3,3,Website,32,46737
2208,2641,84,1617,2026-03-09,2026-05-27,2026-06-01,79,5,2,Half Board,Travel Agent,Confirmed,16280,5,4,App,0,81400
2209,1463,61,1911,2026-04-04,2026-04-15,2026-04-22,11,5,1,Half Board,Offline,Canceled,6896,7,1,Website,4,48272
2210,3680,16,861,2025-10-03,2025-11-14,2025-11-28,42,5,4,Breakfast,Offline,Confirmed,3643,14,0,Travel Agent,7,51002
2211,3805,41,429,2025-06-04,2025-06-15,2025-06-20,11,1,0,Half Board,Travel Agent,Confirmed,15414,5,2,Walk-in,28,77070
2212,2256,32,1687,2026-02-23,2026-02-28,2026-03-14,5,1,1,Half Board,Travel Agent,Canceled,6372,14,5,Website,32,89208
2213,66,36,1977,2025-12-09,2025-12-26,2025-12-31,17,2,4,Breakfast,Offline,Canceled,11995,5,1,Website,2,59975
2214,669,5,1903,2025-03-30,2025-06-16,2025-06-22,78,5,2,Breakfast,Travel Agent,Checked Out,11716,6,5,Travel Agent,30,70296
2215,3367,32,1480,2025-09-19,2025-11-09,2025-11-14,51,2,1,Breakfast,Offline,Confirmed,7566,5,2,Travel Agent,11,37830
2216,3813,36,170,2025-12-08,2025-12-19,2026-01-03,11,3,0,Full Board,Corporate,Canceled,8677,15,0,Travel Agent,8,130155
2217,1243,79,141,2024-09-04,2024-11-21,2024-11-29,78,4,0,Full Board,Travel Agent,Checked Out,18308,8,1,Walk-in,36,146464
2218,2529,51,517,2025-04-09,2025-06-02,2025-06-04,54,5,3,Full Board,Offline,Confirmed,18098,2,3,Walk-in,9,36196
2219,3871,3,545,2024-07-29,2024-08-06,2024-08-14,8,4,2,Full Board,Offline,Checked Out,14088,8,3,Website,20,112704
2220,1579,63,856,2025-05-12,2025-06-08,2025-06-21,27,2,0,Half Board,Corporate,Checked Out,4983,13,0,Travel Agent,29,64779
